https://exoplanetarchive.ipac.caltech.edu/docs/API_PS_columns.html

Planetary Systems Composite Parameters (PSCP)
Database Column Name	Table Label or Comment
pl_name	Planet Name
hostname	Host Name
pl_letter	Planet Letter
hd_name	HD ID
hip_name	HIP ID
tic_id	TIC ID
gaia_id	GAIA ID
sy_snum	Number of Stars
sy_pnum	Number of Planets
sy_mnum	Number of Moons
cb_flag	Circumbinary Flag
discoverymethod	Discovery Method
disc_year	Discovery Year
disc_refname	Discovery Reference
disc_pubdate	Discovery Publication Date
disc_locale	Discovery Locale
disc_facility	Discovery Facility
disc_telescope	Discovery Telescope
disc_instrument	Discovery Instrument
rv_flag	Detected by Radial Velocity Variations
pul_flag	Detected by Pulsar Timing Variations
ptv_flag	Detected by Pulsation Timing Variations
tran_flag	Detected by Transits
ast_flag	Detected by Astrometric Variations
obm_flag	Detected by Orbital Brightness Modulations
micro_flag	Detected by Microlensing
etv_flag	Detected by Eclipse Timing Variations
ima_flag	Detected by Imaging
dkin_flag	Detected by Disk Kinematics
pl_controv_flag	Controversial Flag
pl_orbper	Orbital Period [days]
pl_orbpererr1	Orbital Period Upper Unc. [days]
pl_orbpererr2	Orbital Period Lower Unc. [days]
pl_orbperlim	Orbital Period Limit Flag
pl_orbper_reflink	Orbital Period Reference
pl_orbsmax	Orbit Semi-Major Axis [au])
pl_orbsmaxerr1	Orbit Semi-Major Axis Upper Unc. [au]
pl_orbsmaxerr2	Orbit Semi-Major Axis Lower Unc. [au]
pl_orbsmaxlim	Orbit Semi-Major Axis Limit Flag
pl_orbsmax_reflink	Orbit Semi-Major Axis Reference
pl_rade	Planet Radius [Earth Radius]
pl_radeerr1	Planet Radius Upper Unc. [Earth Radius]
pl_radeerr2	Planet Radius Lower Unc. [Earth Radius]
pl_radelim	Planet Radius Limit Flag
pl_rade_reflink	Planet Radius Reference
pl_radj	Planet Radius [Jupiter Radius]
pl_radjerr1	Planet Radius Upper Unc. [Jupiter Radius]
pl_radjerr2	Planet Radius Lower Unc. [Jupiter Radius]
